location_name,floor,location_detail,total_amount,repair_count
何文田廣場,2/F,男洗手間,9371.75,15
T Town商場南,G/F,東大堂,27916.0,15
彩明商場二期,G/F,(商場層)行人通道(236-239舖),1460.0,15
TKO Gateway商場西翼,1/F,走廊(購物橋臨時展銷位),89600.0,15
彩雲商場二期,3/F,男廁1,3600.0,15
赤柱廣場,G/F,女廁,10250.0,15
樂富廣場A區,2/F,後巷,10766.44,14
愛東商埸,G/F,外圍向的士站(東門),6970.89,14
鳳德街市,G/F,出入口(近S04),10593.0,14
天耀廣場,1/F,後巷 (L111號舖側),2800.0,14
T.O.P,B/F,暢通易達洗手間,37200.0,14
天耀廣場,1/F,儲物室,85457.8,14
朗屏商場,1/F,顧客服務台,4050.0,14
TKO Gateway街市,G/F,上落貨區,2831.0,14
海富商場,G/F,走廊(新通道),11659.0,14
禾輋廣場D區,2/F,出入口 (往泰和樓),6372.54,14
長發廣場,2/F,走廊 (209號舖側),7210.25,14
T Town商場南,1/F,女廁 (商戶廁),20804.07,14
T Town商場南,1/F,出入口(D14D15天華橋近S117A),366.65,14
TKO Spot街市,G/F,走廊(M403A至415),1690.0,14
曉麗商場,2/F,218舖側通道,15417.47,14
鯉魚門廣場,2/F,201-202號舖對出通道,67368.26,14
小西灣廣場,5/F,冷氣機房,39491.82,13
赤柱廣場,G/F,公共區域全層,50067.65,13
何文田街市,G/F,,33004.0,13
黃大仙中心南館,LG/F,港鐵站D3出口,10728.0,13
天耀廣場,G/F,後巷 (L042號舖側),63615.22,13
朗屏商場,2/F,走廊(L207),120983.61,13
TKO Spot商場,1/F,閉路電視房,7071.24,13
樂富廣場B區,3/F,走廊,12292.68,13
頌安商場,R/F,頌安商場辦事處,43690.5,13
TKO Gateway商場西翼,G/F,出入口(往頌明苑),12101.94,13
平田商場,G/F,商場女廁,930.0,13
赤柱廣場,1/F,公共區域全層,3600.0,13
彩雲商場二期,2/F,女廁,3600.0,13
彩明商場二期,G/F,(商場層)出入口(都會駅),6250.0,13
彌敦道700號辦公大樓,7樓,走廊,3718.0,13
彩園廣場,G/F,戶外範圍,2200.0,13
大元街市,G/F,後巷上落貨區,31003.37,13
慈雲山中心,3/F,男廁,15600.0,12
鳳德商場,3/F,管理處,3383.0,12
TKO Gateway商場西翼,1/F,女廁no.3,4020.0,12
鳳德街市,G/F,女廁,4004.0,12
富泰商場,G/F,大堂,7000.0,12
利業樓,3/F,女廁,9360.0,12
美利樓,G/F,女廁,3750.0,12
祥華商場,G/F,總電房,2155.0,12
鯉魚門廣場,2/F,冷卻器房,110913.23,12
賢麗商場,G/F,女廁,5117.38,12
樂富廣場,4/F,管理處,3705.0,12
長發廣場,G/F,正門出入口 (近108號舖),216727.02,12
TKO Spot商場,2/F,女廁,682.0,12
朗屏商場,G/F,升降機大堂(客用升降機L25&L26),9016.39,12
樂富廣場A區,UG2/F,(樂富園)男廁,21124.8,12
沙角商場地下近ST,5樓,梯垃圾房,32992.12,12
赤柱廣場,6/F,水泵房,104577.0,12
彩雲商場二期,3/F,保安控制室,16067.65,12
慈雲山中心,1/F,上落貨區,19927.64,12
環翠商場1期,1樓,男廁,336.02,12
彌敦道700號辦公大樓,19樓,暢通易達洗手間,29000.0,11
彩雲商場三期,3/F,走廊,5063.19,11
長發廣場,R/F,天台公眾地方,79655.15,11
彩明商場二期,G/F,(商場層)行人通道(266-270舖),395.0,11
樂富廣場A區,UG2/F,出入口,9670.95,11
TKO Gateway商場西翼,G/F,走廊(後欄),1400.0,11
元州商場,1/F,管理處,8540.0,11
何文田街市,G/F,女洗手間,1897.75,11
鳳德商場,G/F,後巷,28300.0,11
慈雲山中心,7/F,戶外範圍(平台公園),4850.0,11
彩明商場二期,G/F,(商場層)傷健廁1,1500.0,11
愛民廣場,G/F,冷氣機房 G-1,44001.9,11
天瑞商場,G/F,控制室,16121.0,11
愛民廣場,G/F,傷健廁4號 (升降機大堂),2250.0,11
富東街市,G/F,出入口(近M1),7279.23,11
天澤商場,G/F,儲物室,96513.0,11
富善商場,1/F,走廊,4880.0,11
富東廣場,1/F,出入口 (往東薈城),18870.0,11
富泰商場,G/F,卸貨台,4727.71,11
T Town商場北,G/F,出入口(D5D6自動門)近NG14),11022.19,11
T Town商場北,G/F,女廁,1143.21,11
黃大仙中心南館,G/F,保安室對出,8198.97,10
大興商場1期,R/F,走廊,7616.7,10
彩明商場一期,G/F,行人通道,9875.0,10
Po Lam Shopping Centre商場二期,G/F,垃圾房,54662.84,10
天瑞商場,R/F,士多房,37579.0,10
彩園廣場,G/F,消防控制室(落貨區),11624.55,10
樂富廣場A區,1/F,元氣壽司側,4352.01,10
TKO Gateway街市,G/F,女廁,1764.0,10
TKO Spot商場,3/F,中庭,12648.12,10
TKO Spot商場,1/F,男廁廁格,1680.0,10
慈雲山中心,3/F,2號銷售車,14896.67,10
天澤商場,3/F,312號舖側消防喉轆,6139.96,10
慈雲山中心,4/F,男廁,15300.0,10
彩明商場二期,G/F,(商場層)行人通道(廁所通道),1175.0,10
慈雲山中心,2/F,上落貨區,10450.0,10
天澤商場,G/F,出入口(近巴士站),19620.0,10
秀茂坪商場,G/F,升降機L2及L3大堂,10740.0,10
TKO Spot商場,G/F,出入口(往巴士總站),6048.08,10
彩雲商場二期,3/F,男廁2,3856.32,10
T Town商場南,1/F,電子顯示屏/商場指南 (近S110舗),4782.06,10
T Town商場南,R/F,冷氣泵房,56563.35,10
樂富廣場A區,UG2/F,走廊,4470.96,9
T Town商場南,G/F,西大堂,12384.15,9
朗屏商場石屏樓,M/F,傷健廁,1446.0,9
鯉魚門廣場,G/F,消防控制室,2048.22,9
天澤商場,G/F,出入口(近觀光升降機),530.94,9
彩明商場一期,3/F,行人通道(301-305舖),22780.65,9
彩明商場一期,3/F,男廁,4400.0,9
彩明商場一期,G/F,正門出入口,58321.79,9
天澤商場,2/F,保安控制室,9562.42,9
樂富廣場B區,1/F,走廊,3508.45,9
彩明商場二期,4/F,(花園)升降機大堂(L4),880.0,9
TKO Gateway商場東翼,2/F,女廁,4211.0,9
沙角商場,1樓,走廊,10566.41,9
小西灣廣場,1/F,垃圾房,5000.0,9
天耀廣場,LG1/F,商場走廊(LG07至LG11號舖對出),10755.04,9
大元商場新翼,G/F,S1對出空地,15289.0,9
長發廣場,3/F,出入口 (319A號後門),9777.77,9
彩園廣場,4/F,中庭,4880.0,9
天耀廣場,R/F,冷凍機房,142179.33,9
大興酒廈,G/F,走廊,5255.37,9
樂富廣場,4/F,保安室,4399.2,9
天盛商場,R/F,冷凍機房,71514.24,9
T.O.P,5/F,暢通易達洗手間,16000.0,9
富善商場,2/F,走廊,6000.0,9
彩明商場一期,1/F,彩明橋出入口,6400.0,8
TQS商場2座,1樓,商場租戶,115773.28,8
彩園廣場,R/F,戶外範圍,1722.98,8
何文田廣場,1/F,11號升降機走廊角位,5383.96,8
鯉魚門廣場,2/F,散熱器房,1900.0,8
頌安商場,G/F,出入口 (近服務台),2600.0,8
彩明商場一期,G/F,保安控制室,21569.0,8
Po Lam Shopping Centre商場一期,3/F,男廁,680.0,8
彌敦道700號辦公大樓,8樓,暢通易達洗手間,8338.19,8
愛民廣場,G/F,消防控制室,1525.34,8
彩明商場一期,2/F,冷氣控制室1-1,155271.39,8
慈雲山中心,6/F,中庭 (近SH601-653號舖),90511.6,8
大興商場2期,G/F,走廊,6722.0,8
富泰商場,G/F,顧客服務台,9394.4,8
TKO Spot商場,G/F,出入口(往12生肖),8080.0,8
彩雲街市,G/F,近女廁出入口,16304.16,8
平田商場,2/F,走廊,29199.29,8
鳳德商場,2/F,2號女廁 (228舖側走廊內),17758.0,8
天澤商場,2/F,208號舖側消防喉轆,15830.49,8
樂富廣場A區,4/F,天台,8124.48,8
樂富廣場A區,4/F,冷氣控制室 / 機房(Plant A),20464.0,8
慈雲山中心,3/F,商場走廊(304A至311號舖對出),58862.09,8
彩明商場二期,G/F,(商場層)行人通道(250-252舖),4850.0,8
利業樓,3/F,男廁,3380.0,8
天澤商場,G/F,11號舖側,12919.88,8
T Town商場南,R/F,(籃球場),4007.14,8
海富商場,2/F,冷氣機房,14814.91,8
小西灣廣場,4/F,商場走廊,16875.0,8
富泰商場,4/F,,155151.64,7
天盛商場,G/F,戶外範圍 (L002至L004A號舖對出),83841.04,7
天盛商場,1/F,儲物室 (近育嬰室),29199.0,7
T Town南車場,3/F,商場管理處,4947.98,7
天宏停車場P1,G/F,1號樓梯,21580.54,7
TKO Spot商場,1/F,中庭,1980.0,7
樂富廣場B區,UG2/F,男廁,8385.66,7
TKO Gateway停車場(西翼),G/F,出入口閘機,42152.38,7
朗屏商場,2/F,走廊(近L202),12160.5,7
富泰商場,G/F,出入口(近展銷場地),7583.0,7
TKO Gateway街市,G/F,走廊(1號),7700.0,7
富亨商場,G/F,總電房(上落貨區入口側),13189.72,7
TKO Gateway街市,G/F,出入口,52454.39,7
T.O.P,MTR/F,後巷,16676.38,7
慈雲山中心,4/F,傷健廁,14844.59,7
啟田商場舊翼,1/F,暢通易達洗手間(公眾),4332.6,7
南昌薈商場,G/F,出入口(2號玻璃門),7546.58,7
彩明商場一期,G/F,自動門出入口,1440.0,7
黃大仙中心南館,G/F,上落貨區,14194.79,7
慈雲山中心,1/F,總電制房1號,86884.42,7
朗屏商場,1/F,走廊(近L113),2802.8,7
天澤商場,R/F,戶外設施(籃球場),931.76,7
TKO Gateway商場東翼,3/F,冷氣控制室,10658.6,7
彩明商場二期,G/F,(商場層)出入口(271-272舖對面),2400.0,7
TKO Spot街市,G/F,出入口(近M310),1346.0,7
TKO Spot街市,G/F,出入口(近M114),1800.0,7
長發廣場,3/F,垃圾房 (C4升降機對出),3599.75,7
小西灣廣場,1/F,出入口 (天橋),18225.0,7
T Town商場北,G/F,公共區域醫生村,2600.0,7
何文田廣場,3/F,暢通易達洗手間(2),1875.0,7
慈雲山中心,8/F,冷氣控制室,11342.5,7
賢麗商場,G/F,後巷,3300.0,7
TKO Gateway商場西翼,1/F,傷健廁no.1,500.0,7
天耀廣場,G/F,後巷 (由風櫃房2-2號至L048-50號舖),10254.72,7
慈雲山中心,3/F,商場走廊(314至319號舖對出),2250.0,7
天慈商場,G/F,儲物室,31347.0,7
設備樓,2/F,空調機房,108177.53,7
大元商場新翼,G/F,後巷,47408.25,6
大興 街市,G/F,走廊,14306.02,6
富泰商場,1/F,出入口(近停車場),26469.28,6
天瑞商場,G/F,時光隧道,7020.82,6
天慈商場,G/F,男廁(商戶廁),2800.0,6
樂富廣場A區,1/F,走廊,3763.75,6
樂富廣場A區,2/F,(煤氣)女廁,7436.0,6
朗屏商場,G/F,巴士站外圍(近ST6),28000.0,6
廣福商場,2/F,男廁,5851.44,6
南昌薈商場,P/F,發電機房,10131.63,6
彌敦道700號辦公大樓,6樓,育嬰室,1000.0,6
小西灣廣場,5/F,冷凍水泵房,5116.2,6
啟田商場舊翼,4/F,冷水泵房 (近B電房側),3660.0,6
頌安商場,G/F,消防控制室,12163.71,6
富泰商場,G/F,出入口(近6號舖),20307.32,6
TKO Spot商場,2/F,行人天橋1,35898.05,6
TKO Spot商場,1/F,走廊(117至123號舖對出),7081.02,6
TQS辦公大樓1座,8樓,男洗手間,8124.98,6
TKO Spot商場,1/F,走廊(106至111號舖對出),8335.58,6
