location_name,floor,location_detail,total_amount,repair_count
慈雲山中心,1/F,展銷場E,19065.67,3
赤柱廣場,6/F,冷凍機裝置房,8809.11,3
彩明商場二期,G/F,(商場層)傷健廁2,1065.0,3
東頭邨旺東樓,G/F,商場管理處,502.59,3
富亨商場,G/F,消防花灑泵房(商場16號舖側),29448.18,3
小西灣廣場,1/F,風櫃房,1511.11,3
東頭邨安東樓,G/F,1號舖對出,29755.98,3
東頭邨商場,G/F,租戶區域,3148.97,3
宏福停車場,G/F,出入口閘機,4400.0,3
慈雲山中心,2/F,後巷 (管理處後門),67943.64,3
廣福商場,2/F,防煙門內(2號梯),34011.22,3
富亨商場,1/F,走廊,148290.34,3
彩雲商場二期,3/F,走廊(後巷近A324),725.34,3
彩園廣場,G/F,保安控制室 (完鐘),1578.42,3
愉翠商場,R/F,冷氣水泵房,9157.6,3
富東廣場,G/F,出入口(往上落貨區),2200.0,3
華荔停車場,G/F,繳費處內,17085.1,3
興華停車場,G/F,出入口閘機,26696.78,3
興華停車場,5/F,私家車車位 516 至 524,2200.0,3
小西灣廣場,G/F,升降機大堂 (L54),13588.46,3
小西灣廣場,G/F,出入口 (近L56),4900.0,3
朗屏商場,4/F,戶外範圍(商場冷氣機房),6204.18,3
彩雲商場二期,3/F,電錶房1,1989.4,3
彩明商場一期,1/F,行人通道(彩明橋),55189.02,3
設備樓,1/F,空調冷凍水泵房,28309.04,3
富善商場,R/F,天台,20667.35,3
彩明商場一期,2/F,行人通道(中庭),4943.83,3
愛民廣場,1/F,傷健廁5A號(近5號廁),1280.0,3
愛東商場,G/F,載貨升降機大堂(L3L4),11917.71,3
富東廣場,1/F,走廊 (SH112街),7247.86,3
朗屏B停車場,UG/F,車位208至209,3154.97,3
彩雲商場二期,2/F,走廊(後巷近L2),725.34,3
彩園廣場,4/F,風櫃房 (ST7梯側),15039.3,3
彩明停車場 (CP2),G/F,CP2更亭(CCTV房),8790.66,3
愛東商場,G/F,污水泵房,30332.72,3
彩雲商場三期,G/F,外牆,19877.06,3
慈雲山中心,5/F,中庭 (近SH501-502號舖),5382.08,3
慈雲山中心,8/F,冷凍機房,44005.0,3
慈雲山中心,2/F,出入口(往安康閣),6400.0,3
T Town商場北,G/F,上落貨區 (NG03-04後門),6394.44,3
Po Lam Shopping Centre商場一期,G/F,傷健廁其他設施位置,1065.0,3
TKO Spot商場,2/F,傷健廁3號,4689.94,3
TKO Spot商場,2/F,升降機大堂(L4L5),1050.0,3
啟田商場舊翼,4/F,戶外制冷機WCC-1,42590.57,3
和明停車場,G/F,出入囗閘機,17221.71,3
長發廣場,G/F,走廊 (SH112號舖側往車場出入口),3951.79,3
長發廣場,R/F,冷氣電掣房 (近5號梯),36858.9,3
唐明停車場,4/F,電錶房1-1,1948.01,3
長發廣場,G/F,大垃圾房,13041.9,3
啟田A停車場,G/F,出入口閘機,7483.04,3
長發廣場,G/F,後備發電機房 (外圍面向俊發樓),5566.48,3
樂富廣場A區,G/F,戶外範圍,9956.19,3
海富商場,G/F,走廊(後欄往卸貨區),24059.05,3
鯉魚門廣場,2/F,平台 (往高超道方向行人天橋蓋頂),8080.0,3
天慈商場,G/F,發電機房,1941.78,3
TKO Gateway商場西翼,G/F,風櫃房(WG1),15024.72,3
TKO Gateway商場東翼,G/F,客運升降機大堂(L4L5),831.0,3
鳳德商場,R/F,冷凍房2號,18572.4,3
大元街市,G/F,走廊(1街113檔至120檔),27985.25,3
TKO SPOT A停車場,G/F,貨車位26至50,11514.75,3
TKO SPOT B停車場,G/F,閘口更亭,4346.08,3
TKO SPOT C停車場,3/F,車位41至60,3265.11,3
大元商場新翼,G/F,升降機大堂,8000.0,3
大元商場新翼,1/F,男洗手間,2294.25,3
樂富廣場A區,3/F,升降機大堂 (CCL1),19614.06,3
大興商場1期,1/F,傷健廁 (惠康後門側),10706.81,3
TKO Gateway街市,G/F,出入口(海天堂),1450.0,3
大興商場2期,G/F,消防控制室,22751.07,3
TKO SPOT A停車場,2/F,車位21至40,6530.22,3
樂富廣場B區,4/F,冷水機房 (Plant C),3626.0,3
樂富廣場B區,4/F,天台,10792.56,3
三聖商場C1,2F,2B 號舖位,767.8,3
順利商場一期,G/F,公共區域走廊,22931.42,3
頌安商場,R/F,冷水機房 (頌安商場),17362.07,3
TQS辦公大樓2座,15樓,1號後梯風櫃房,21114.0,3
元州商場,G/F,設施房,7500.0,3
鯉魚門廣場,2/F,207-208號舖對出通道,704.43,3
鯉魚門廣場,2/F,傷健廁廁格,2200.0,3
南昌薈商場,1/F,傷健廁1號,1840.0,3
T Town商場北,1/F,風櫃房B號 (ST5),6106.38,3
何文田廣場,R/F,冷氣機房,38935.0,3
鯉魚門廣場,1/F,5，6號貨運升降機大堂,1772.06,3
何文田廣場,3/F,風櫃房,1989.4,3
TKO Gateway商場東翼,1/F,顧客服務台,3265.11,3
啟田商場舊翼,4/F,冷氣掣櫃房,18323.6,3
T Town商場北,2/F,風櫃房A號 (N241舖側),39350.85,3
T Town商場南,G/F,風櫃房B號 (卸貨區),10809.4,3
鳳禮停車場,G/F,電錶房,695.0,3
天瑞商場,R/F,天台範圍,66568.64,3
黃大仙中心北館,3/F,商場控制室,18186.96,3
樂富廣場A區,1/F,戶外範圍,2200.0,3
T Town商場南,R/F,冷氣控制室,3962.5,3
TKO Gateway停車場(西翼),2/F,車位A215至A232,31663.34,3
天耀廣場,G/F,戶外範圍(地下水泵房對出),6300.0,3
黃大仙中心北館(龍翔辦公大樓),10/F,冷水機房5至6號,78988.0,3
T Town商場南,G/F,出入口(D7D8近SG26),7308.14,3
天耀廣場,LG1/F,上落貨區,10338.26,3
鳳德街市,G/F,設施房,15910.4,3
T Town商場北,R/F,冷氣泵房,33749.04,3
T Town商場北,R/F,冷氣控制室,7289.8,3
黃大仙中心北館(龍翔辦公大樓),10/F,冷氣泵房,41415.4,3
欣明停車場,G/F,出入口閘機,16632.1,3
T.O.P,2/F,風櫃房 (近洗手間),2290.16,3
彩明停車場 (CP2),R/F,2號升降機大堂,1395.0,2
鯉魚門廣場,1/F,出入口通道 (往高翔苑，高怡邨),3526.0,2
美利樓,G/F,消防控制室,2457.25,2
鯉魚門廣場,1/F,風櫃房 (近101號舖),1395.4,2
彩明商場一期,3/F,女廁,28994.3,2
愛東車場,G/F,升降機,13869.27,2
黃大仙中心北館(龍翔辦公大樓),10/F,冷水機房1至4號,50323.0,2
黃大仙中心南館,1/F,公共區域清潔大做,20200.0,2
彩明商場一期,2/F,傷健廁廁格,4211.0,2
T.O.P,1/F,簷篷(向彌敦道),5500.0,2
彩明商場一期,1/F,電錶房1-7,700.0,2
樂富廣場B區,UG2/F,戶外範圍 (白鴿場),10800.0,2
T Town商場南,1/F,公共區域,13193.53,2
T Town商場北,G/F,低壓電制房1號(巴士站外),2155.0,2
T Town商場南,G/F,上落貨區第一度防煙門側樓梯(ST3),8600.0,2
T Town商場南,G/F,(花槽上落貨區外),13010.47,2
祥華商場,2/F,電制房,2825.3,2
黃大仙中心南館,1/F,風櫃房(4號),10699.15,2
黃大仙中心南館,1/F,風櫃房,13824.75,2
TKO SPOT A停車場,2/F,車位41至60,613.2,2
TKO Gateway停車場(東翼),2/F,車位B228至B252,29430.55,2
TKO SPOT B停車場,1/F,樓梯(ST14),2060.0,2
黃大仙中心北館,1/F,管理處,4423.9,2
鳳德商場,2/F,樓梯(ST2),13740.82,2
鳳德商場,2/F,樓梯(ST1),6813.92,2
海富商場,G/F,消防控制房,20345.28,2
TKO SPOT A停車場,1/F,車路,4045.86,2
TKO Spot商場,1/F,外牆,12618.68,2
TKO SPOT B停車場,2/F,車位101至117,8091.71,2
TKO SPOT B停車場,2/F,車位1至20,766.5,2
彩雲商場二期,2/F,走廊(後巷近L1),28276.62,2
慈雲山中心,3/F,水錶房11號,15069.91,2
TKO Gateway商場東翼,R/F,冷水機,27640.37,2
德田街市,G/F,卸貨區,4913.84,2
海富商場,1/F,戶外範圍(101號舖通道),44914.45,2
TKO Gateway商場,1/F,W127 號舖位,9959.24,2
TKO Gateway商場西翼,2/F,戶外範圍,28502.51,2
鳳德商場,G/F,垃圾房,3500.0,2
TKO Gateway商場東翼,G/F,消防控制室,14887.95,2
鳳德商場,R/F,冷氣控制室,1989.4,2
TKO Gateway商場,G/F,EF23 號舖位,10036.1,2
TKO Gateway商場,1/F,W105 號舖位,20532.98,2
TKO Gateway街市,G/F,316 號檔位,3300.0,2
TKO Gateway商場西翼,G/F,垃圾房,5951.96,2
TKO Gateway商場西翼,G/F,水錶房(WG1),664.79,2
TKO Spot商場,1/F,樓梯(ST8),3878.84,2
黃大仙中心北館,G/F,走廊(G06至G06G號舖對出),22779.59,2
黃大仙中心南館,G/F,污水缸房,2200.0,2
TQS商場1座,2樓,商場走廊(近10-11號舖),1571.51,2
慈雲山中心,5/F,風櫃房16號,3273.67,2
T.O.P,5/F,戶外冷氣機房,87107.8,2
慈雲山中心,5/F,風櫃房15號,4966.33,2
鯉魚門廣場,G/F,1號貨運升降機大堂,18049.84,2
彩明商場一期,G/F,戶外範圍,38730.86,2
彩明商場一期,G/F,外牆,70189.45,2
彩明商場一期,3/F,風櫃房1-11,697.7,2
竹園廣場,1/F,女廁廁格,16565.0,2
TKO Gateway商場東翼,1/F,出入口(往東港城),27500.0,2
TQS商場2座,2樓,公眾位置全層,5176.51,2
慈雲山中心,3/F,商場走廊(311A至313號舖對出),16168.58,2
慈雲山中心,5/F,戶外範圍,5350.0,2
沙角商場,2樓,傷健廁(SH235)其他設施,3084.97,2
T.O.P,G/F,出入口 (快富街自動門),1315.6,2
TKO Spot商場,3/F,電錶房3B,2260.0,2
鯉魚門廣場,R/F,天幕玻璃 (金字塔位),17620.0,2
TKO Spot商場,2/F,育嬰室,26170.64,2
TKO Spot商場,1/F,風櫃房C,8587.42,2
T.O.P,G/F,後巷,4019.94,2
彩雲商場三期,G/F,冷氣機房,16900.0,2
頌安商場,R/F,消防水缸,5874.72,2
樂華商場,4/F,L25升降機機房,11273.07,2
彩雲商場三期,3/F,風櫃房,1334.22,2
彩雲商場三期,3/F,走廊(後巷惠康),6938.53,2
TKO Spot商場,G/F,水泵房,18809.26,2
彩雲A停車場,1/F,車位143至157,9956.19,2
TKO Spot商場,G/F,管理處,3657.51,2
鯉魚門廣場,LG/F,消防花灑泵房,3363.6,2
TKO Spot商場,4/F,水缸,3381.18,2
TKO Spot商場,G/F,上落貨區,2200.0,2
鯉魚門廣場,LG/F,總電掣A房,54608.4,2
天澤商場,1/F,風櫃房(近3梯),14418.25,2
富泰停車場,3/F,導管房,1811.17,2
長發停車場,B/F,出入口 (近B074位斜對面),4950.0,2
富泰商場,1/F,風櫃房(近1/F男廁所),48342.26,2
慈雲山中心,2/F,後巷,725.34,2
朗屏商場,4/F,消防花灑泵房1,10191.09,2
英明停車場,G/F,車位1102至1104,4453.14,2
富東廣場,G/F,緊急發電機房,2081.5,2
天澤商場,G/F,風櫃房,11010.3,2
天澤商場,R/F,後備發電機房,9518.55,2
富東廣場,G/F,戶外行人通道(醫生街),2200.0,2
黃大仙中心南館,UG/F,男洗手間,5400.0,2
天澤商場,R/F,樓梯(ST5),6084.84,2
天澤商場,R/F,消防花灑水缸及泵房,6503.03,2
天澤商場,2/F,管理處,38848.43,2
長安停車場 (一期),G/F,停車場公共區域,19634.14,2
朗屏商場,M/F,,10010.62,2
天澤商場,3/F,風櫃房(近3梯),1039.58,2
富泰商場,2/F,電錶房(近2/F女廁所),860.0,2
朗屏商場,1/F,電制房(近垃圾房),11102.2,2
大元商場新翼,G/F,男洗手間,938.93,2
大元商場新翼,M/F,通道,13206.0,2
小西灣廣場,3/F,L55升降機大堂,725.34,2
啟田商場舊翼,3/F,通道(商場) - 309-314號舖對出,16563.24,2
啟田商場舊翼,4/F,咸水泵/水缸房 (5號貨運升降機對出),11848.95,2
啟田商場舊翼,G/F,垃圾房,20308.4,2
啟田商場舊翼,G/F,戶外範圍 (車場入口側消防喉轆),10352.47,2
小西灣廣場,3/F,公共區域全層,36482.69,2
大興街市,G/F,露天空間,8080.0,2
富泰商場,G/F,隔油池房(近1號舖),18517.79,2
朗屏商場,3/F,走廊(近客升降機大堂L25&L26),24794.93,2
大興酒廈,G/F,升降機大堂,7631.71,2
天佑停車場,G/F,消防控制室,17240.53,2
天宏停車場P1,G/F,出口閘機,10544.14,2
天悅(CPB),2樓,全層,2550.0,2
天悅車場,1/F,儲物室3 (CP35側),7850.03,2
大興商場1期,G/F,郵局後巷,3500.0,2
朗屏商場,1/F,風櫃房1號(近男廁),19080.0,2
寶珮停車場,G/F,總電制房 (近G022號車位）,12147.82,2
Po Lam Shopping Centre商場一期,3/F,防火閘(FSH3),697.7,2
寶珮停車場,G/F,消防泵房 (近G022號車位）,3020.36,2
寶林停車場,G/F,車位P1054至P1072,17071.07,2
朗屏商場,2/F,樓梯(ST1A近L207),6150.3,2
寶林停車場,G/F,停車場辦公區域,13059.24,2
良景停車場,3/F,車位328至330,2571.6,2
黃大仙中心南館,UG/F,樓梯(ST1),10728.0,2
寧峰停車場,LG2/F,升降機、電梯、樓梯,3280.45,2
富東廣場,3/F,戶外範圍(聖公會幼兒學校外),12600.0,2
Lok Fu廣場C1,2F,1117 號舖位,47099.82,2
天盛街市,G/F,二期風櫃房(P01),2672.9,2
天盛街市,G/F,出入口(立食街),36550.0,2
天盛街市,G/F,走廊 (M111至M119號檔),12300.44,2
Lok Fu廣場M1,1F,D043 號檔位,56898.63,2
富善商場,2/F,匡智會後門,11134.22,2
赤柱廣場停車場,2/F,升降機大堂,4400.0,2
Lok Fu廣場C1,2F,2159A 號舖位,14347.66,2
天耀廣場,1/F,冷凍機房,22960.92,2
天耀廣場,R/F,冷氣泵房,157.49,2
樂富UNY停車場CPA,1/F,出入口閘機,11794.0,2
天耀廣場,LG1/F,總電制房1號,3674.72,2
天耀廣場,LG1/F,發電機房,4340.46,2
赤柱廣場,6/F,空調控制室,1989.4,2
天耀廣場,G/F,風櫃房2-6號,2551.92,2
天耀廣場,1/F,戶外範圍(網球場外圍),1107.74,2
黃大仙中心南館停車場CPA,1/F,繳費處,1747.65,2
慈雲山中心,1/F,消防花灑控制室1號,5670.51,2
黃大仙中心南館停車場CPA,4/F,1號升降機,28110.84,2
Lok Fu廣場M1,1F,D047 號檔位,13964.2,2
富東A停車場,G/F,停車場辦公區域,4581.68,2
天瑞商場,G/F,垃圾房,10412.29,2
蝴蝶廣場,R/F,遊樂及休憩設施,5089.18,2
逸東2號停車場,G/F,(卸貨區)貨車車位,14810.16,2
設備樓,1/F,空調控制房,2136.7,2
富善街市,G/F,電制房(近垃圾房),9200.71,2
天瑞商場,G/F,水錶房(2梯),15429.96,2
蝴蝶停車場,G/F,一號樓梯,27379.22,2
天瑞商場,G/F,總電制房(近G15),3615.0,2
天盛停車場,7/F,私家車車位7169-7174,1146.38,2
東頭2邨A停車場CPA,G/F,車位P154至P165,10948.15,2
富善商場,5/F,天台,26532.92,2
天盛停車場,7/F,私家車車位7010-7014,6719.73,2
賢麗商場,G/F,公共區域戶外花圃,35700.0,2
富善街市,G/F,出入口(近91號檔),15203.93,2
富善街市,G/F,上落貨區,2200.0,2
富善熟食檔,1/F,公共區域走廊(CF1-4),6264.79,2
富善商場,G/F,總電制房 (近K17巴士站),10980.0,2
何文田廣場,1/F,11號升降機側,36978.45,2
翠屏(北)停車場1號場,4/F,車位P.216 至P.241,3778.59,2
三聖滿漁樓,G/F,走廊,8655.11,2
三聖熟食檔,G/F,走廊,8080.0,2
三聖豐漁樓,G/F,亭舖走廊,698.45,2
建生商場,G/F,消防花灑控制室(3號梯 ),1146.38,2
建生商場,G/F,服務台,14003.0,2
建生商場,G/F,公共區域,630.0,2
祥華商場,2/F,ST1 梯內,14771.95,2
祥華B停車場,G/F,電錶房,128225.68,2
翠灣停車場,G/F,私家車車位 1 至 6,2200.0,2
三聖商場,2/F,走廊,17164.0,2
樂富廣場B區,G/F,消防控制室,11703.84,2
天耀廣場,LG1/F,出入口(近LG14號舖),6435.37,2
TQS辦公大樓2座,6樓,1號後梯風櫃房,53187.66,2
UNKNOWN,G/F,16車位,6203.33,2
UNKNOWN,G/F,更亭,8680.0,2
三聖商場,1/F,升降機大堂,3916.23,2
樂富廣場B區,3/F,後巷,18580.0,2
樂富廣場B區,G/F,上落貨區,3300.0,2
TTS - CPA,8樓,,318.56,2
TTS - CPA車場,3樓,繳費處,1757.21,2
Tong Ming,G/F,1 號舖位,44089.84,2
啟田A停車場,3/F,車路,3265.11,2
康瑞停車場,R/F,消防泵房,7606.62,2
愛民廣場,G/F,戶外範圍(G37AB對出),3800.0,2
啟田B停車場,G/F,出入口閘機(大閘),7850.77,2
和明停車場,1/F,1號升降機,1300.0,2
和明停車場,1/F,車位105至107,700.0,2
和明停車場,1/F,車位146至147,5517.27,2
長發廣場,G/F,總電掣房 (外圍面向俊發樓),2507.7,2
啟田B停車場,G/F,升降機大堂(L6L7),1345.17,2
朗屏E停車場,G/F,大閘出入口更亭1,32630.1,2
平田2期停車場,2/F,車位1至10,6246.76,2
啟田商場舊翼,1/F,P02號快閃店 (SH123),11223.0,2
興東商埸,G/F,公共區域全層,7382.0,2
樂富廣場A區,3/F,風櫃房(6梯),21719.1,2
啟田商場舊翼,2/F,洗手間(洗水房),19178.0,2
小西灣廣場,5/F,商場天台(近506),5310.0,2
平田商場,1/F,101舖前門通道,8080.0,2
啟田商場C1,3F,314 號舖位,17277.89,2
平田商場,G/F,商場正門前通道,21062.29,2
廣福停車場,G/F,車位121至133,3300.0,2
元州商場,G/F,總電掣房,7369.36,2
建生商場,1/F,服務台,860.0,2
樂富廣場A區12梯樂富園廁所上,1/F,ob1,5800.0,2
長發廣場,R/F,樓梯 (6號梯),7350.0,2
盈福苑停車場1號梯,7/F,,19633.32,2
UNKNOWN,G/F,107車位,72242.63,2
祥華廣場C1,3F,L302 號舖位,1624.48,1
海富停車場有蓋車場,G/F,1至27號車位,37899.87,1
祥華商場,R/F,消防泵房 (天台),17491.02,1
祥華商場,R/F,,1989.4,1
漁安停車場,G/F,1/F 出入口閘機,2200.0,1
海富商場,3/F,公共區域,6300.0,1
海富商場,G/F,士多房1(往海裕閣通道),10402.0,1
海富商場,MR/F,發電機房,1704.02,1
海富商場,G/F,總電掣房,2880.0,1
祥華A停車場,LG/F,設施房,23397.17,1
祥華A停車場,G/F,露天車位10至18,6600.0,1
祥華商場,2/F,樓梯中間花槽,4681.82,1
祥華B停車場,G/F,更亭,1146.38,1
頌安商場,G/F,儲物室 (近3號樓梯),980.0,1
逸東3號停車場,5/F,停車場公共區域,17600.0,1
逸東1號停車場,R/F,1號樓梯,8800.0,1
逸東2號停車場,2/F,停車場公共區域,29800.0,1
逸東2號停車場,4/F,450至454號車位,7539.68,1
逸東2號停車場,G/F,停車場辦公區域,3139.68,1
逸東2號停車場,5/F,494至497號車位,3318.73,1
長安停車場 (一期),3/F,停車場公共區域,6825.0,1
長發停車場,1/F,車位1024至1030,4950.0,1
黃大仙中心北館,P/F,風櫃房4號,1364.86,1
黃大仙中心北館,P/F,鮮風房1號,1364.86,1
黃大仙中心北館,R/F,公共區域,3864.1,1
黃大仙中心北館,1/F,風櫃房9號,1138.8,1
黃大仙中心北館,3/F,停車場繳費處,3495.31,1
黃大仙中心北館,G/F,公共區域,17199.0,1
黃大仙中心南館,UG/F,UG13側SD77防煙門,1994.06,1
黃大仙中心南館,UG/F,風櫃房,1466.4,1
黃大仙中心南館停車場CPA,2/F,4號梯,758.58,1
黃大仙中心南館停車場CPA,4/F,2號梯,37948.7,1
黃大仙中心南館停車場CPA,G/F,2號梯,13274.92,1
黃大仙中心南館,G/F,女洗手間,2200.0,1
黃大仙中心南館,G/F,戶外範圍,3656.02,1
黃大仙中心南館,G/F,污水缸房(3號),2200.0,1
黃大仙中心南館,G/F,風櫃房,544.79,1
黃大仙中心南館,LG/F,公共區域清潔大做,11884.84,1
黃大仙中心南館,LG/F,導管房(2號),4950.0,1
鯉魚門廣場C1,LG,LG1 號舖位,6879.39,1
鳳德A停車場,1/F,車位P1001至P1009,4761.04,1
鳳德A停車場,1/F,車位P1074至P1090,32657.99,1
鯉魚門廣場,G/F,街市上落貨區通道,5515.42,1
黃大仙中心北館,1/F,會議室,2645.0,1
高怡停車場,G/F,車位 17 - 18,777.5,1
鯉魚門廣場,2/F,空調控制室,16444.0,1
鳳禮停車場,1/F,電線房,10184.37,1
鳳德商場,R/F,冷凍房1號,11500.0,1
麗安停車場,G/F,電制房,1169.76,1
鳳德商場,G/F,電錶房1,14016.34,1
鳳德商場,G/F,消防花灑總掣房,12505.3,1
鳳德B停車場,G/F,電錶房,695.0,1
鳳德商場,2/F,防火閘(FSH1),69181.88,1
逸東1號停車場,G/F,貨車位31至36號車位,9757.39,1
美林停車場,1/F,繳費處,1757.21,1
竹園廣場,4/F,水缸房,808.63,1
竹園廣場,3/F,"升降機大堂(L1,L2)",8665.88,1
竹園廣場,3/F,平台 (水溫房) 外花圃,1466.4,1
竹園廣場,3/F,平台3(連接ST1樓梯及ST3樓梯),17465.71,1
竹園廣場,3/F,花槽,9316.7,1
竹園廣場,4/F,控制室,1479.29,1
竹園廣場,G/F,後巷(近S012-013),725.34,1
竹園廣場,G/F,樓梯(ST3),52288.71,1
美利樓,G/F,1號升降機大堂,3300.0,1
翠屏(北)停車場2號場,G/F,出入口閘機,4257.0,1
翠屏(南)停車場,1/F,私家車車位G009至G017,3265.11,1
翠屏(南)停車場,3/F,私家車車位M038至M046,1041.13,1
翠屏(南)停車場,3/F,私家車車位M074至M079,651.16,1
翠屏(南)停車場,G/F,總電掣房,5518.67,1
翠屏(北)停車場1號場,3/F,車位P.171 至P.208,7571.35,1
翠灣車場,G/F,,1256.61,1
翠屏(北)停車場2號場,G/F,,2585.61,1
翠屏(北)停車場1號場,1/F,電錶房,5495.99,1
禾輋廣場E區,3/F,ST-1梯防煙門外,11389.15,1
竹園廣場,2/F,"升降機大堂(L1,L2)",2366.64,1
竹園廣場,2/F,男廁尿兜,2553.38,1
賢麗商場,G/F,發電機房,4278.99,1
華荔停車場,1/F,162至167車位,11927.75,1
華荔停車場,3/F,382至384車位,3769.84,1
華荔停車場,G/F,1號樓梯,2200.0,1
華荔停車場,G/F,電單車位 10至14號,10442.7,1
蝴蝶停車場,1/F,二號樓梯,3841.49,1
逸東1號停車場,G/F,停車場公共區域,2200.0,1
赤柱廣場C1,1F,TK,6493.13,1
興東停車場,LG3/F,車位3027至3034,3300.0,1
興東商埸,G/F,水錶房(G03),4817.36,1
興華停車場,1/F,設施房,9841.36,1
興東停車場,LG1/F,貨車位101-110,2200.0,1
耀東停車場 (CP1),1/F,出入口閘機,2200.0,1
耀東停車場 (CP1),2/F,樓梯(ST1),4995.82,1
耀東停車場 (CP2),1/F,水泵房,11459.51,1
耀東停車場 (CP2),6/F,車位B268至B273,5402.59,1
良景廣場L,1樓,梯(ST11),865.0,1
良景停車場 (CP),2/F,,1757.21,1
良景停車場 (CP),1/F,,11841.9,1
唐明停車場,R/F,水泵房1,389.6,1
唐明停車場,G/F,消防控制室,4210.86,1
唐明停車場,G/F,更亭1,1217.28,1
唐明停車場,G/F,升降機大堂(L1),4400.0,1
唐明停車場,4/F,車位216至226,3265.11,1
唐明停車場,2/F,水泵房,27131.19,1
和明停車場,G/F,車路,4400.0,1
和明停車場,G/F,總電錶房,3585.7,1
啟田A停車場,3/F,車位21至40,9795.34,1
啟田A停車場,G/F,出入口,12016.89,1
啟田商場C1,1F,116 號其他單位,23260.16,1
啟田B停車場,G/F,消防控制室,19390.77,1
南昌薈商場,G/F,室外簷篷(西邨路),2200.0,1
南昌薈商場,G/F,消防控制室,2510.0,1
啟田商場舊翼,G/F,火牛房D,14105.87,1
啟田商場舊翼,2/F,風櫃房 (技工房對出),23840.0,1
啟田商場新翼,3/F,通道(商場) -  L336號舖對出,18200.0,1
啟田商場新翼,3/F,管道房4 (ST-4號梯旁),2120.0,1
啟田商場新翼,3/F,水錶房 (女洗手間對出),2172.26,1
啟田商場新翼,2/F,風櫃房2 (ST-5號梯旁),8080.0,1
啟田商場舊翼,2/F,通道(後走廊 - 5號梯內側),4346.48,1
啟田商場新翼,G/F,通道(後走廊) -  1號梯內側,3300.0,1
大元商場新翼,G/F,外圍花圃(近S4C),8287.65,1
三聖豐漁樓,G/F,細舖 電錶房 (近7號榮興),3197.24,1
三聖商場,G/F,電錶房 (近權記),6557.04,1
三聖商場,G/F,走廊,3000.0,1
Tong Ming,G/F,KG01 號其他單位,5226.25,1
Tong Ming,G/F,GF 號其他單位,35896.97,1
何文田商場C1,2F,223 號舖位,19834.1,1
元州商場,1/F,,12712.44,1
元州停車場停車場,1/F,一號樓梯,16555.52,1
元州停車場,G/F,總電制房,2770.0,1
健明A停車場,M/F,車路,4400.0,1
健明A停車場,G/F,貨車位LG19至LG35,1041.13,1
健明A停車場,G/F,停車場辦事處,1989.4,1
元州商場,G/F,,24725.0,1
元州商場,UR/F,客用升降機機房,6750.0,1
何文田廣場,3/F,,25336.28,1
何文田商場C1,3F,322 號舖位,62299.44,1
健明A停車場,1/F,電錶房14,697.7,1
何文田街市,G/F,物業辦公區域,554.84,1
何文田廣場,G/F,,9360.0,1
大元商場新翼,G/F,外圍花圃(近E1扶手梯側),4880.0,1
大元商場新翼,G/F,外圍花圃(近上落貨區側),17600.0,1
天盛街市,G/F,一期水錶房(W01),860.0,1
天盛商場,R/F,電掣房,22638.0,1
天盛商場,R/F,發電機房,7614.84,1
天盛商場,R/F,消防花灑水缸及泵房,11296.0,1
天耀停車場,LG,上落貨區車位7至9,4180.0,1
天盛停車場,3/F,私家車車位3187-3193,1757.21,1
天盛停車場,2/F,風櫃房2-2 (2190車位),2725.81,1
天盛停車場,2/F,私家車車位2154-2165,3192.03,1
天盛停車場,1樓,全層,48764.74,1
天盛商場,1/F,往女廁通道,98536.2,1
天耀廣場,G/F,樓梯(ST18),7926.52,1
富善停車場,1/F,繳費處,1330.11,1
富亨商場,R/F,散熱機房,1121.81,1
天耀廣場,R/F,洗地水缸,7252.35,1
天耀廣場C1,1F,112 號其他單位,29841.64,1
天耀廣場,LG1/F,垃圾房,2400.0,1
天耀廣場C1,1F,1 號網球場,2348.09,1
天耀廣場C1,1F,AHU1 號其他單位,11000.0,1
宏福停車場,G/F,設施房,13185.96,1
宏福停車場,G/F,升降機大堂,16124.9,1
宏福停車場,2/F,車位310-321,19647.25,1
天耀車場停車場LG,2樓,全層,8643.49,1
天悅停車場,2樓,1號樓梯,80.01,1
天宏停車場P1,1/F,電錶房,1250.53,1
天佑停車場,2/F,車位 216-219,11035.31,1
天慈停車場,G/F,水錶房1,3508.05,1
天慈商場,G/F,後巷(1C舖),41648.21,1
天慈商場,G/F,出入口(1C舖對出),3800.0,1
天慈商場,1/F,樓梯(ST2),6840.95,1
天慈商場,1/F,商場走廊(洗手間對出),306.6,1
大興酒廈,G/F,消防控制房,10361.52,1
天瑞商場停車場,M/F,辦事處對出消防喉轆,471.86,1
大興商場1期,1/F,SH54 側牆身 (巡邏點),7654.84,1
大興商場1期,1/F,A橋,6359.76,1
大元商場新翼,G/F,總電掣房(1號掣房),11600.0,1
大興商場1期,G/F,SH17-18 門口側去水喉邊(巡邏點),4374.83,1
大興街市,G/F,技工房門口側消防入水掣內(巡邏點),5299.8,1
大興街市,G/F,SS35 對出柱身(巡邏點),46683.91,1
大興商場2期,G/F,展銷場,7631.71,1
大興商場2期,1/F,傷健廁,9218.66,1
大興商場1期,G/F,樓梯 (近熟食檔),153.3,1
天慈商場,R/F,消防花灑水缸及泵房,1278.36,1
天瑞商場,G/F,G8後門樓梯側牆身,2480.0,1
天瑞內場,2樓,私家車車位P008-P015,10808.52,1
