period,total_cost,work_order_count,avg_cost
January,15754.75,3772,4.176762990455991
February,15445.96,3117,4.955393006095605
March,5045.45,3870,1.3037338501291988
April,11692.72,4174,2.8013224724484904
May,17056.81,4492,3.7971527159394483
